longitude,latitude
30.520903,50.444397
30.520843,50.444221
30.520783,50.444045
30.520723,50.443869
30.520664,50.443693
30.520609,50.443517
30.520553,50.443341
30.520497,50.443165
30.520438,50.442989
30.520375,50.442813
30.520313,50.442638
30.520242,50.442464
30.520168,50.44229
30.520102,50.442115
30.520039,50.44194
30.519975,50.441765
30.519916,50.441589
30.519858,50.441413
30.5198,50.441237
30.519747,50.44106
30.519755,50.440885
30.519985,50.440796
30.520266,50.440779
30.520548,50.440776
30.52083,50.440773
30.521113,50.440771
30.521395,50.44077
30.521677,50.44077
30.52196,50.44077
30.522241,50.440762
30.522479,50.440676
30.522572,50.440509
30.522661,50.440339
30.522787,50.440179
30.522958,50.440036
30.523131,50.439894
30.523303,50.439751
30.523478,50.43961
30.523667,50.439476
30.523857,50.439343
30.524045,50.439209
30.524233,50.439075
30.52442,50.43894
30.524608,50.438806
30.524803,50.438677
30.525045,50.438586
30.525324,50.438574
30.52548,50.43867
30.525417,50.438844
30.525311,50.43901
30.525508,50.439139
30.525701,50.43927
30.525896,50.4394
30.526082,50.439535
30.526267,50.439671
30.526464,50.4398
30.526656,50.439932
30.526839,50.440069
30.527022,50.440206
30.527204,50.440343
30.527391,50.440478
30.527579,50.440613
30.527766,50.440747
30.527953,50.440882
30.52814,50.441017
30.528328,50.441151
30.528518,50.441284
30.528719,50.44133
30.528943,50.44122
30.529166,50.441111
30.52939,50.441001
30.529613,50.440891
30.529837,50.440781
30.530062,50.440672
30.530286,50.440563
30.530511,50.440454
30.530783,50.440451
30.531045,50.440518
30.531307,50.440586
30.531568,50.440654
30.53183,50.440721
30.532092,50.440789
30.532353,50.440857
30.532615,50.440924
30.532865,50.441004
30.533125,50.441073
30.533386,50.441143
30.533647,50.441212
30.533907,50.441282
30.534166,50.441354
30.534422,50.441429
30.534668,50.441516
30.534839,50.441659
30.534842,50.441785
30.53462,50.441895
30.534402,50.442009
30.534184,50.442124
30.533965,50.442238
30.533744,50.44235
30.533524,50.442462
30.533305,50.442576
30.533437,50.442713
30.533617,50.442852
30.533798,50.44299
30.533976,50.44313
30.53415,50.443271
30.53433,50.44341
30.53451,50.443548
30.534695,50.443684
30.534871,50.443825
30.535049,50.443964
30.535227,50.444104
30.53541,50.444241
30.535596,50.444285
30.535816,50.444173
30.535994,50.444306
30.536203,50.444274
30.536422,50.444161
30.536641,50.444047
30.53686,50.443933
30.536882,50.443921
30.536664,50.444035
30.536624,50.444156
30.536485,50.444276
30.536334,50.444416
30.536347,50.444582
30.53616,50.4447
30.536155,50.444827
30.536322,50.444964
30.536105,50.445022
30.535924,50.444884
30.53574,50.444748
30.535555,50.444611
30.53537,50.444475
30.535185,50.444339
30.535003,50.444202
30.534819,50.444066
30.534635,50.44393
30.53445,50.443793
30.53426,50.44366
30.534073,50.443526
30.533887,50.44339
30.533703,50.443254
30.533518,50.443118
30.533333,50.442982
30.533149,50.442846
30.533046,50.442716
30.533262,50.4426
30.533479,50.442485
30.5337,50.442373
30.53392,50.44226
30.534139,50.442147
30.534357,50.442033
30.534575,50.441918
30.5348,50.44181
